"Id","Any","Mes","Dia","DiaDeLaSetmana","Hora_enter","Lloc_interes","Latitud","Longitud","Max_Nivell_LAeq_1h","Min_Nivell_LAeq_1h","Nivell_LAeq_1h","Categoria_Nivell"
53,2023,1,1,"diumenge",5,"El Molino","41.37485","2.166773","87.6","60.1","66.6",3
54,2023,1,1,"diumenge",5,"Torre Agbar","41.402124","2.184799","80.8","53.4","58.6",2
55,2023,1,1,"diumenge",6,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","50.7",3
56,2023,1,1,"diumenge",6,"Sagrada Familia","41.404484","2.174691","91.4","46.5","56.2",3
57,2023,1,1,"diumenge",6,"Plaça de Joanic",41406,"2.162636","90.8","53.1","62.2",3
58,2023,1,1,"diumenge",6,"El Molino","41.37485","2.166773","87.6","60.1","66.7",3
59,2023,1,1,"diumenge",6,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","54.3",3
60,2023,1,1,"diumenge",6,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","58.6",5
61,2023,1,1,"diumenge",6,"Torre Agbar","41.402124","2.184799","80.8","53.4","59.5",3
62,2023,1,1,"diumenge",6,"Mercat del Born","41.387076","2.180426","91.7","39.7","49.5",2
63,2023,1,1,"diumenge",6,"Rambla","41.378242","2.175112","88.1","50.2","69.9",6
64,2023,1,1,"diumenge",7,"El Molino","41.37485","2.166773","87.6","60.1","66.9",3
65,2023,1,1,"diumenge",7,"Torre Agbar","41.402124","2.184799","80.8","53.4","58.3",2
66,2023,1,1,"diumenge",7,"Rambla","41.378242","2.175112","88.1","50.2","57.5",2
67,2023,1,1,"diumenge",7,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","49.1",3
68,2023,1,1,"diumenge",7,"Mercat del Born","41.387076","2.180426","91.7","39.7","49.3",2
69,2023,1,1,"diumenge",7,"Sagrada Familia","41.404484","2.174691","91.4","46.5","54.4",2
70,2023,1,1,"diumenge",7,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","52.3",3
71,2023,1,1,"diumenge",7,"Plaça de Joanic",41406,"2.162636","90.8","53.1","61.4",3
72,2023,1,1,"diumenge",7,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","56.8",3
73,2023,1,1,"diumenge",8,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","62.3",5
74,2023,1,1,"diumenge",8,"Rambla","41.378242","2.175112","88.1","50.2",67,5
75,2023,1,1,"diumenge",8,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","57.8",4
76,2023,1,1,"diumenge",8,"Sagrada Familia","41.404484","2.174691","91.4","46.5","56.2",3
77,2023,1,1,"diumenge",8,"Torre Agbar","41.402124","2.184799","80.8","53.4","60.2",3
78,2023,1,1,"diumenge",8,"El Molino","41.37485","2.166773","87.6","60.1","71.3",5
79,2023,1,1,"diumenge",8,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7",60,4
80,2023,1,1,"diumenge",8,"Mercat del Born","41.387076","2.180426","91.7","39.7","53.9",3
81,2023,1,1,"diumenge",8,"Plaça de Joanic",41406,"2.162636","90.8","53.1","61.9",3
82,2023,1,1,"diumenge",9,"Plaça de Joanic",41406,"2.162636","90.8","53.1",67,4
83,2023,1,1,"diumenge",9,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","61.5",5
84,2023,1,1,"diumenge",9,"Rambla","41.378242","2.175112","88.1","50.2","69.9",6
85,2023,1,1,"diumenge",9,"Sagrada Familia","41.404484","2.174691","91.4","46.5","58.7",3
86,2023,1,1,"diumenge",9,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7","58.5",5
87,2023,1,1,"diumenge",9,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","59.3",3
88,2023,1,1,"diumenge",9,"Torre Agbar","41.402124","2.184799","80.8","53.4","60.8",3
89,2023,1,1,"diumenge",9,"Mercat del Born","41.387076","2.180426","91.7","39.7","54.2",3
90,2023,1,1,"diumenge",9,"El Molino","41.37485","2.166773","87.6","60.1",69,4
91,2023,1,1,"diumenge",10,"Plaça de Joanic",41406,"2.162636","90.8","53.1","65.3",4
92,2023,1,1,"diumenge",10,"Mercat del Born","41.387076","2.180426","91.7","39.7","58.4",4
93,2023,1,1,"diumenge",10,"Rambla","41.378242","2.175112","88.1","50.2","60.8",3
94,2023,1,1,"diumenge",10,"Sagrada Familia","41.404484","2.174691","91.4","46.5","61.7",4
95,2023,1,1,"diumenge",10,"Mercat de Sant Antoni","41.378803","2.160936","95.7","43.7","60.7",4
96,2023,1,1,"diumenge",10,"Torre Agbar","41.402124","2.184799","80.8","53.4","61.3",3
97,2023,1,1,"diumenge",10,"Plaça de la Vila de Gracia","41.400471","2.157441",94,"34.8","66.9",6
98,2023,1,1,"diumenge",10,"Plaça de la Virreina","41.405117","2.157312","93.3","34.7",59,5
99,2023,1,1,"diumenge",10,"El Molino","41.37485","2.166773","87.6","60.1","68.3",3
100,2023,1,1,"diumenge",11,"Rambla","41.378242","2.175112","88.1","50.2","61.9",4
101,2023,1,1,"diumenge",11,"Torre Agbar","41.402124","2.184799","80.8","53.4","61.2",3
102,2023,1,1,"diumenge",11,"Sagrada Familia","41.404484","2.174691","91.4","46.5","65.5",5
