Suma de Any,Suma de Categoria_Nivell,Suma de Dia,DiaDeLaSetmana,Hora,Recompte de Id,Latitud,Lloc_interes,Id_Instal,Longitud,Suma de Max_Nivell_LAeq_1h,Suma de Mes,Suma de Min_Nivell_LAeq_1h,Suma de Nivell_LAeq_1h
103173,211,794,dijous,1899-12-30 10:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3601.2999999999993
103173,218,794,dijous,1899-12-30 10:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3229.2999999999997
103173,219,794,dijous,1899-12-30 10:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3242.399999999999
97104,221,745,dijous,1899-12-30 10:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3301.4000000000005
103173,224,794,dijous,1899-12-30 11:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3616.3000000000006
103173,226,794,dijous,1899-12-30 11:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3305.5999999999995
103173,246,794,dijous,1899-12-30 11:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3346.9
97104,226,745,dijous,1899-12-30 11:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3320.1
103173,224,794,dijous,1899-12-30 12:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3625.3
103173,232,794,dijous,1899-12-30 12:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3306.4000000000005
103173,250,794,dijous,1899-12-30 12:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3389.2000000000007
97104,229,745,dijous,1899-12-30 12:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3334.8
103173,225,794,dijous,1899-12-30 13:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3619.7999999999997
103173,211,794,dijous,1899-12-30 13:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3193.8999999999996
103173,247,794,dijous,1899-12-30 13:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3349.100000000001
97104,224,745,dijous,1899-12-30 13:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3316.399999999999
103173,211,794,dijous,1899-12-30 14:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3598.7
103173,202,794,dijous,1899-12-30 14:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3114.9000000000005
103173,243,794,dijous,1899-12-30 14:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3336.0000000000005
97104,207,745,dijous,1899-12-30 14:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3253.7000000000003
103173,214,794,dijous,1899-12-30 15:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3605.599999999999
103173,185,794,dijous,1899-12-30 15:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3060.0999999999995
103173,246,794,dijous,1899-12-30 15:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3336.1000000000004
97104,223,745,dijous,1899-12-30 15:00:00,48,"41,406",Plaça de Joanic,7306,"2,162636",4358.400000000003,299,2548.799999999998,3313.4999999999995
103173,212,794,dijous,1899-12-30 16:00:00,51,"41,37485",Sant Maria del Mar,497,"2,166773",4467.5999999999985,329,3065.099999999997,3597.399999999999
103173,198,794,dijous,1899-12-30 16:00:00,51,"41,378803",Mercat de Sant Antoni,5766,"2,160936",4880.699999999995,329,2228.7000000000007,3111.6000000000004
103173,247,794,dijous,1899-12-30 16:00:00,51,"41,404484",Sagrada Familia,6756,"2,174691",4661.400000000001,329,2371.5,3329.2
